ds,y
10/18/2017,0.6171831917944193
11/3/2017,0.5661382214515729
12/5/2017,0.5624882068054594
1/6/2018,0.631878795467351
2/7/2018,0.5453754252709867
3/27/2018,0.5331223277250263
4/28/2018,0.595107729502951
5/30/2018,0.6272340425531915
6/15/2018,0.6397590361445783
7/1/2018,0.6280450536977212
8/18/2018,0.5681371673513127
9/3/2018,0.52948811551878
10/5/2018,0.4821648216482164
11/22/2018,0.5453754252709867
12/8/2018,0.5453754252709867
1/9/2019,0.5453754252709867
2/26/2019,0.46598062953995156
3/30/2019,0.631332541401719
4/15/2019,0.5355667737494264
5/17/2019,0.4999248007219131
6/18/2019,0.5354527296937417
7/20/2019,0.5093485369330091
8/5/2019,0.49698290311766674
9/22/2019,0.3906912902420764
