ds,y
10/18/2017,0.745113112233692
11/3/2017,0.5466608420247911
12/5/2017,0.5616513061024159
1/6/2018,0.7037728026533998
2/7/2018,0.5483741737330574
3/27/2018,0.606120086567014
4/28/2018,0.5623042836041358
5/30/2018,0.5620389446401276
6/15/2018,0.5638501503965
7/1/2018,0.5395362663495838
8/18/2018,0.37397721803304995
9/3/2018,0.12645700461842982
10/5/2018,0.3003295797857731
11/22/2018,0.14871668918089165
12/8/2018,0.5483741737330574
1/9/2019,0.5483741737330574
2/26/2019,0.5765983824310763
3/30/2019,0.5051095919374162
4/15/2019,0.5483741737330574
5/17/2019,0.6855506047103755
6/18/2019,0.6228103823040533
7/20/2019,0.5198948169676839
8/5/2019,0.49387305521134517
9/22/2019,0.3088746245804134
