ds,y
10/18/2017,0.5289367429340511
11/3/2017,0.18425252704380216
12/5/2017,0.2543103448275862
1/6/2018,0.5123653281096964
2/7/2018,0.46110516934046347
3/27/2018,0.5586902334013144
4/28/2018,0.545916470442434
5/30/2018,0.5750716132187521
6/15/2018,0.5085525370130805
7/1/2018,0.500112790435371
8/18/2018,0.33267850396675475
9/3/2018,0.3237347294938918
10/5/2018,0.2776295079723533
11/22/2018,0.462562784721411
12/8/2018,0.46110516934046347
1/9/2019,0.46110516934046347
2/26/2019,0.7610793345849889
3/30/2019,0.7999636627906979
4/15/2019,0.46110516934046347
5/17/2019,0.7667512153878673
6/18/2019,0.20669098674259273
7/20/2019,0.14573913043478257
8/5/2019,0.14722753346080308
9/22/2019,0.21713615023474186
